design,criteria,material,rating
kitchen,lightweight,Steel,0
kitchen,lightweight,Steel,7
kitchen,lightweight,Steel,7
kitchen,lightweight,Steel,2
kitchen,lightweight,Steel,5
kitchen,lightweight,Steel,6
kitchen,lightweight,Steel,3
kitchen,lightweight,Steel,6
kitchen,lightweight,Steel,0
kitchen,lightweight,Steel,0
kitchen,lightweight,Steel,1
kitchen,lightweight,Steel,3
kitchen,lightweight,Steel,3
kitchen,lightweight,Steel,5
kitchen,lightweight,Steel,1
kitchen,lightweight,Steel,3
kitchen,lightweight,Steel,1
kitchen,lightweight,Steel,1
kitchen,lightweight,Steel,5
kitchen,lightweight,Steel,0
kitchen,lightweight,Steel,1
kitchen,lightweight,Steel,2
kitchen,lightweight,Steel,2
kitchen,lightweight,Steel,5
kitchen,lightweight,Steel,0
kitchen,lightweight,Steel,5
kitchen,lightweight,Steel,3
kitchen,lightweight,Steel,1
kitchen,lightweight,Steel,4
kitchen,lightweight,Steel,6
kitchen,lightweight,Steel,3
kitchen,lightweight,Steel,4
kitchen,lightweight,Steel,0
kitchen,lightweight,Steel,6
kitchen,lightweight,Steel,2
kitchen,lightweight,Steel,2
kitchen,lightweight,Steel,3
kitchen,lightweight,Steel,5
kitchen,lightweight,Steel,3
kitchen,lightweight,Steel,0
kitchen,lightweight,Steel,6
kitchen,lightweight,Steel,0
kitchen,lightweight,Steel,5
kitchen,lightweight,Steel,1
kitchen,lightweight,Steel,0
kitchen,lightweight,Steel,5
kitchen,lightweight,Steel,5
kitchen,lightweight,Steel,1
kitchen,lightweight,Steel,5
kitchen,lightweight,Steel,3
kitchen,lightweight,Steel,1
kitchen,lightweight,Steel,0
kitchen,lightweight,Steel,6
kitchen,lightweight,Steel,0
kitchen,lightweight,Steel,7
kitchen,lightweight,Steel,1
kitchen,lightweight,Steel,6
kitchen,lightweight,Steel,2
kitchen,lightweight,Steel,0
kitchen,lightweight,Steel,0
kitchen,lightweight,Steel,1
kitchen,lightweight,Steel,10
kitchen,lightweight,Steel,0
kitchen,lightweight,Steel,9
kitchen,lightweight,Steel,0
kitchen,lightweight,Steel,3
kitchen,lightweight,Steel,5
kitchen,lightweight,Aluminium,0
kitchen,lightweight,Aluminium,8
kitchen,lightweight,Aluminium,9
kitchen,lightweight,Aluminium,8
kitchen,lightweight,Aluminium,9
kitchen,lightweight,Aluminium,9
kitchen,lightweight,Aluminium,5
kitchen,lightweight,Aluminium,10
kitchen,lightweight,Aluminium,1
kitchen,lightweight,Aluminium,0
kitchen,lightweight,Aluminium,10
kitchen,lightweight,Aluminium,5
kitchen,lightweight,Aluminium,6
kitchen,lightweight,Aluminium,8
kitchen,lightweight,Aluminium,8
kitchen,lightweight,Aluminium,7
kitchen,lightweight,Aluminium,7
kitchen,lightweight,Aluminium,10
kitchen,lightweight,Aluminium,7
kitchen,lightweight,Aluminium,6
kitchen,lightweight,Aluminium,9
kitchen,lightweight,Aluminium,3
kitchen,lightweight,Aluminium,5
kitchen,lightweight,Aluminium,7
kitchen,lightweight,Aluminium,5
kitchen,lightweight,Aluminium,8
kitchen,lightweight,Aluminium,3
kitchen,lightweight,Aluminium,1
kitchen,lightweight,Aluminium,6
kitchen,lightweight,Aluminium,8
kitchen,lightweight,Aluminium,9
kitchen,lightweight,Aluminium,10
kitchen,lightweight,Aluminium,8
kitchen,lightweight,Aluminium,10
kitchen,lightweight,Aluminium,6
kitchen,lightweight,Aluminium,9
kitchen,lightweight,Aluminium,6
kitchen,lightweight,Aluminium,9
kitchen,lightweight,Aluminium,6
kitchen,lightweight,Aluminium,0
kitchen,lightweight,Aluminium,3
kitchen,lightweight,Aluminium,2
kitchen,lightweight,Aluminium,9
kitchen,lightweight,Aluminium,6
kitchen,lightweight,Aluminium,10
kitchen,lightweight,Aluminium,6
kitchen,lightweight,Aluminium,5
kitchen,lightweight,Aluminium,5
kitchen,lightweight,Aluminium,5
kitchen,lightweight,Aluminium,3
kitchen,lightweight,Aluminium,5
kitchen,lightweight,Aluminium,2
kitchen,lightweight,Aluminium,5
kitchen,lightweight,Aluminium,0
kitchen,lightweight,Aluminium,7
kitchen,lightweight,Aluminium,5
kitchen,lightweight,Aluminium,4
kitchen,lightweight,Aluminium,10
kitchen,lightweight,Aluminium,6
kitchen,lightweight,Aluminium,0
kitchen,lightweight,Aluminium,10
kitchen,lightweight,Aluminium,10
kitchen,lightweight,Aluminium,2
kitchen,lightweight,Aluminium,10
kitchen,lightweight,Aluminium,3
kitchen,lightweight,Aluminium,9
kitchen,lightweight,Aluminium,7
kitchen,lightweight,Titanium,0
kitchen,lightweight,Titanium,8
kitchen,lightweight,Titanium,9
kitchen,lightweight,Titanium,9
kitchen,lightweight,Titanium,4
kitchen,lightweight,Titanium,9
kitchen,lightweight,Titanium,4
kitchen,lightweight,Titanium,9
kitchen,lightweight,Titanium,0
kitchen,lightweight,Titanium,1
kitchen,lightweight,Titanium,10
kitchen,lightweight,Titanium,1
kitchen,lightweight,Titanium,4
kitchen,lightweight,Titanium,6
kitchen,lightweight,Titanium,1
kitchen,lightweight,Titanium,5
kitchen,lightweight,Titanium,10
kitchen,lightweight,Titanium,1
kitchen,lightweight,Titanium,7
kitchen,lightweight,Titanium,4
kitchen,lightweight,Titanium,2
kitchen,lightweight,Titanium,3
kitchen,lightweight,Titanium,3
kitchen,lightweight,Titanium,9
kitchen,lightweight,Titanium,0
kitchen,lightweight,Titanium,9
kitchen,lightweight,Titanium,3
kitchen,lightweight,Titanium,1
kitchen,lightweight,Titanium,7
kitchen,lightweight,Titanium,7
kitchen,lightweight,Titanium,10
kitchen,lightweight,Titanium,5
kitchen,lightweight,Titanium,8
kitchen,lightweight,Titanium,9
kitchen,lightweight,Titanium,9
kitchen,lightweight,Titanium,7
kitchen,lightweight,Titanium,8
kitchen,lightweight,Titanium,5
kitchen,lightweight,Titanium,5
kitchen,lightweight,Titanium,0
kitchen,lightweight,Titanium,9
kitchen,lightweight,Titanium,0
kitchen,lightweight,Titanium,7
kitchen,lightweight,Titanium,5
kitchen,lightweight,Titanium,10
kitchen,lightweight,Titanium,6
kitchen,lightweight,Titanium,3
kitchen,lightweight,Titanium,1
kitchen,lightweight,Titanium,7
kitchen,lightweight,Titanium,7
kitchen,lightweight,Titanium,1
kitchen,lightweight,Titanium,2
kitchen,lightweight,Titanium,4
kitchen,lightweight,Titanium,0
kitchen,lightweight,Titanium,7
kitchen,lightweight,Titanium,4
kitchen,lightweight,Titanium,6
kitchen,lightweight,Titanium,10
kitchen,lightweight,Titanium,7
kitchen,lightweight,Titanium,0
kitchen,lightweight,Titanium,9
kitchen,lightweight,Titanium,2
kitchen,lightweight,Titanium,0
kitchen,lightweight,Titanium,10
kitchen,lightweight,Titanium,0
kitchen,lightweight,Titanium,10
kitchen,lightweight,Titanium,5
kitchen,lightweight,Glass,0
kitchen,lightweight,Glass,0
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,0
kitchen,lightweight,Glass,4
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,6
kitchen,lightweight,Glass,0
kitchen,lightweight,Glass,3
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,3
kitchen,lightweight,Glass,6
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,4
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,5
kitchen,lightweight,Glass,4
kitchen,lightweight,Glass,0
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,4
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,3
kitchen,lightweight,Glass,3
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,4
kitchen,lightweight,Glass,2
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,6
kitchen,lightweight,Glass,3
kitchen,lightweight,Glass,0
kitchen,lightweight,Glass,0
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,5
kitchen,lightweight,Glass,8
kitchen,lightweight,Glass,0
kitchen,lightweight,Glass,0
kitchen,lightweight,Glass,4
kitchen,lightweight,Glass,5
kitchen,lightweight,Glass,2
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,2
kitchen,lightweight,Glass,2
kitchen,lightweight,Glass,0
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,3
kitchen,lightweight,Glass,3
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,8
kitchen,lightweight,Glass,3
kitchen,lightweight,Glass,4
kitchen,lightweight,Glass,0
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,10
kitchen,lightweight,Glass,0
kitchen,lightweight,Glass,3
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,1
kitchen,lightweight,Glass,0
kitchen,lightweight,Wood,0
kitchen,lightweight,Wood,9
kitchen,lightweight,Wood,8
kitchen,lightweight,Wood,10
kitchen,lightweight,Wood,9
kitchen,lightweight,Wood,2
kitchen,lightweight,Wood,4
kitchen,lightweight,Wood,10
kitchen,lightweight,Wood,6
kitchen,lightweight,Wood,9
kitchen,lightweight,Wood,10
kitchen,lightweight,Wood,6
kitchen,lightweight,Wood,2
kitchen,lightweight,Wood,4
kitchen,lightweight,Wood,1
kitchen,lightweight,Wood,9
kitchen,lightweight,Wood,1
kitchen,lightweight,Wood,7
kitchen,lightweight,Wood,1
kitchen,lightweight,Wood,9
kitchen,lightweight,Wood,1
kitchen,lightweight,Wood,3
kitchen,lightweight,Wood,6
kitchen,lightweight,Wood,9
kitchen,lightweight,Wood,5
kitchen,lightweight,Wood,6
kitchen,lightweight,Wood,8
kitchen,lightweight,Wood,8
kitchen,lightweight,Wood,3
kitchen,lightweight,Wood,5
kitchen,lightweight,Wood,7
kitchen,lightweight,Wood,9
kitchen,lightweight,Wood,5
kitchen,lightweight,Wood,9
kitchen,lightweight,Wood,7
kitchen,lightweight,Wood,5
kitchen,lightweight,Wood,9
kitchen,lightweight,Wood,3
kitchen,lightweight,Wood,0
kitchen,lightweight,Wood,5
kitchen,lightweight,Wood,4
kitchen,lightweight,Wood,10
kitchen,lightweight,Wood,10
kitchen,lightweight,Wood,9
kitchen,lightweight,Wood,0
kitchen,lightweight,Wood,7
kitchen,lightweight,Wood,5
kitchen,lightweight,Wood,6
kitchen,lightweight,Wood,9
kitchen,lightweight,Wood,6
kitchen,lightweight,Wood,8
kitchen,lightweight,Wood,4
kitchen,lightweight,Wood,3
kitchen,lightweight,Wood,4
kitchen,lightweight,Wood,6
kitchen,lightweight,Wood,7
kitchen,lightweight,Wood,4
kitchen,lightweight,Wood,10
kitchen,lightweight,Wood,6
kitchen,lightweight,Wood,9
kitchen,lightweight,Wood,8
kitchen,lightweight,Wood,10
kitchen,lightweight,Wood,0
kitchen,lightweight,Wood,10
kitchen,lightweight,Wood,10
kitchen,lightweight,Wood,8
kitchen,lightweight,Wood,8
kitchen,lightweight,Thermoplastic,0
kitchen,lightweight,Thermoplastic,7
kitchen,lightweight,Thermoplastic,5
kitchen,lightweight,Thermoplastic,6
kitchen,lightweight,Thermoplastic,4
kitchen,lightweight,Thermoplastic,7
kitchen,lightweight,Thermoplastic,5
kitchen,lightweight,Thermoplastic,9
kitchen,lightweight,Thermoplastic,2
kitchen,lightweight,Thermoplastic,8
kitchen,lightweight,Thermoplastic,6
kitchen,lightweight,Thermoplastic,2
kitchen,lightweight,Thermoplastic,8
kitchen,lightweight,Thermoplastic,0
kitchen,lightweight,Thermoplastic,10
kitchen,lightweight,Thermoplastic,3
kitchen,lightweight,Thermoplastic,8
kitchen,lightweight,Thermoplastic,10
kitchen,lightweight,Thermoplastic,10
kitchen,lightweight,Thermoplastic,6
kitchen,lightweight,Thermoplastic,1
kitchen,lightweight,Thermoplastic,6
kitchen,lightweight,Thermoplastic,1
kitchen,lightweight,Thermoplastic,7
kitchen,lightweight,Thermoplastic,5
kitchen,lightweight,Thermoplastic,10
kitchen,lightweight,Thermoplastic,8
kitchen,lightweight,Thermoplastic,1
kitchen,lightweight,Thermoplastic,6
kitchen,lightweight,Thermoplastic,5
kitchen,lightweight,Thermoplastic,6
kitchen,lightweight,Thermoplastic,10
kitchen,lightweight,Thermoplastic,7
kitchen,lightweight,Thermoplastic,7
kitchen,lightweight,Thermoplastic,5
kitchen,lightweight,Thermoplastic,10
kitchen,lightweight,Thermoplastic,6
kitchen,lightweight,Thermoplastic,4
kitchen,lightweight,Thermoplastic,0
kitchen,lightweight,Thermoplastic,8
kitchen,lightweight,Thermoplastic,1
kitchen,lightweight,Thermoplastic,0
kitchen,lightweight,Thermoplastic,0
kitchen,lightweight,Thermoplastic,5
kitchen,lightweight,Thermoplastic,10
kitchen,lightweight,Thermoplastic,6
kitchen,lightweight,Thermoplastic,8
kitchen,lightweight,Thermoplastic,8
kitchen,lightweight,Thermoplastic,7
kitchen,lightweight,Thermoplastic,4
kitchen,lightweight,Thermoplastic,5
kitchen,lightweight,Thermoplastic,3
kitchen,lightweight,Thermoplastic,8
kitchen,lightweight,Thermoplastic,1
kitchen,lightweight,Thermoplastic,1
kitchen,lightweight,Thermoplastic,8
kitchen,lightweight,Thermoplastic,4
kitchen,lightweight,Thermoplastic,8
kitchen,lightweight,Thermoplastic,5
kitchen,lightweight,Thermoplastic,10
kitchen,lightweight,Thermoplastic,1
kitchen,lightweight,Thermoplastic,10
kitchen,lightweight,Thermoplastic,2
kitchen,lightweight,Thermoplastic,7
kitchen,lightweight,Thermoplastic,2
kitchen,lightweight,Thermoplastic,8
kitchen,lightweight,Thermoplastic,7
kitchen,lightweight,Elastomer,0
kitchen,lightweight,Elastomer,6
kitchen,lightweight,Elastomer,4
kitchen,lightweight,Elastomer,6
kitchen,lightweight,Elastomer,8
kitchen,lightweight,Elastomer,4
kitchen,lightweight,Elastomer,5
kitchen,lightweight,Elastomer,8
kitchen,lightweight,Elastomer,6
kitchen,lightweight,Elastomer,5
kitchen,lightweight,Elastomer,5
kitchen,lightweight,Elastomer,8
kitchen,lightweight,Elastomer,5
kitchen,lightweight,Elastomer,0
kitchen,lightweight,Elastomer,5
kitchen,lightweight,Elastomer,1
kitchen,lightweight,Elastomer,6
kitchen,lightweight,Elastomer,5
kitchen,lightweight,Elastomer,7
kitchen,lightweight,Elastomer,9
kitchen,lightweight,Elastomer,1
kitchen,lightweight,Elastomer,1
kitchen,lightweight,Elastomer,1
kitchen,lightweight,Elastomer,6
kitchen,lightweight,Elastomer,1
kitchen,lightweight,Elastomer,7
kitchen,lightweight,Elastomer,7
kitchen,lightweight,Elastomer,2
kitchen,lightweight,Elastomer,2
kitchen,lightweight,Elastomer,5
kitchen,lightweight,Elastomer,6
kitchen,lightweight,Elastomer,10
kitchen,lightweight,Elastomer,7
kitchen,lightweight,Elastomer,5
kitchen,lightweight,Elastomer,5
kitchen,lightweight,Elastomer,7
kitchen,lightweight,Elastomer,4
kitchen,lightweight,Elastomer,6
kitchen,lightweight,Elastomer,5
kitchen,lightweight,Elastomer,10
kitchen,lightweight,Elastomer,1
kitchen,lightweight,Elastomer,5
kitchen,lightweight,Elastomer,0
kitchen,lightweight,Elastomer,9
kitchen,lightweight,Elastomer,10
kitchen,lightweight,Elastomer,5
kitchen,lightweight,Elastomer,5
kitchen,lightweight,Elastomer,7
kitchen,lightweight,Elastomer,3
kitchen,lightweight,Elastomer,2
kitchen,lightweight,Elastomer,5
kitchen,lightweight,Elastomer,1
kitchen,lightweight,Elastomer,6
kitchen,lightweight,Elastomer,0
kitchen,lightweight,Elastomer,0
kitchen,lightweight,Elastomer,8
kitchen,lightweight,Elastomer,7
kitchen,lightweight,Elastomer,9
kitchen,lightweight,Elastomer,0
kitchen,lightweight,Elastomer,8
kitchen,lightweight,Elastomer,1
kitchen,lightweight,Elastomer,2
kitchen,lightweight,Elastomer,0
kitchen,lightweight,Elastomer,4
