model,experiment,design,criteria,mean_distances
GPT-4,zero-shot,kitchen utensil grip,lightweight,3.3177264213044166
GPT-4,zero-shot,kitchen utensil grip,heat resistant,2.7640791476407913
GPT-4,zero-shot,kitchen utensil grip,corrosion resistant,3.354642313546423
GPT-4,zero-shot,kitchen utensil grip,high strength,2.801801801801802
GPT-4,zero-shot,spacecraft component,lightweight,2.757433489827856
GPT-4,zero-shot,spacecraft component,heat resistant,2.8666666666666667
GPT-4,zero-shot,spacecraft component,corrosion resistant,2.9210950080515294
GPT-4,zero-shot,spacecraft component,high strength,2.646879756468797
GPT-4,zero-shot,underwater component,lightweight,3.484984984984985
GPT-4,zero-shot,underwater component,heat resistant,2.807017543859649
GPT-4,zero-shot,underwater component,corrosion resistant,3.6737891737891735
GPT-4,zero-shot,underwater component,high strength,2.6932707355242567
GPT-4,zero-shot,safety helmet,lightweight,3.0632716049382713
GPT-4,zero-shot,safety helmet,heat resistant,2.427230046948357
GPT-4,zero-shot,safety helmet,corrosion resistant,2.9706790123456788
GPT-4,zero-shot,safety helmet,high strength,2.633802816901409
GPT-4,few-shot,kitchen utensil grip,lightweight,3.082012362585238
GPT-4,few-shot,kitchen utensil grip,heat resistant,3.372907153729072
GPT-4,few-shot,kitchen utensil grip,corrosion resistant,3.6666666666666665
GPT-4,few-shot,kitchen utensil grip,high strength,2.828828828828829
GPT-4,few-shot,spacecraft component,lightweight,2.923317683881064
GPT-4,few-shot,spacecraft component,heat resistant,2.848888888888889
GPT-4,few-shot,spacecraft component,corrosion resistant,3.1835748792270535
GPT-4,few-shot,spacecraft component,high strength,2.550989345509893
GPT-4,few-shot,underwater component,lightweight,3.5210210210210215
GPT-4,few-shot,underwater component,heat resistant,2.89766081871345
GPT-4,few-shot,underwater component,corrosion resistant,3.947293447293447
GPT-4,few-shot,underwater component,high strength,2.807511737089202
GPT-4,few-shot,safety helmet,lightweight,2.9027777777777777
GPT-4,few-shot,safety helmet,heat resistant,3.205007824726135
GPT-4,few-shot,safety helmet,corrosion resistant,3.6342592592592595
GPT-4,few-shot,safety helmet,high strength,2.561815336463224
GPT-4,parallel,kitchen utensil grip,lightweight,3.1657464410768457
GPT-4,parallel,kitchen utensil grip,heat resistant,3.018264840182648
GPT-4,parallel,kitchen utensil grip,corrosion resistant,3.112633181126332
GPT-4,parallel,kitchen utensil grip,high strength,2.9759759759759756
GPT-4,parallel,spacecraft component,lightweight,2.748043818466354
GPT-4,parallel,spacecraft component,heat resistant,2.788148148148148
GPT-4,parallel,spacecraft component,corrosion resistant,2.859903381642512
GPT-4,parallel,spacecraft component,high strength,2.742770167427702
GPT-4,parallel,underwater component,lightweight,3.3138138138138142
GPT-4,parallel,underwater component,heat resistant,2.93859649122807
GPT-4,parallel,underwater component,corrosion resistant,3.2635327635327633
GPT-4,parallel,underwater component,high strength,2.7417840375586855
GPT-4,parallel,safety helmet,lightweight,2.9151234567901234
GPT-4,parallel,safety helmet,heat resistant,2.447574334898279
GPT-4,parallel,safety helmet,corrosion resistant,2.95216049382716
GPT-4,parallel,safety helmet,high strength,2.58528951486698
GPT-4,chain-of-thought,kitchen utensil grip,lightweight,3.9713560156506134
