model,experiment,mean_z_score
GPT-4,zero-shot,0.4465186751311816
GPT-4,few-shot,0.49702186040580265
GPT-4,parallel,0.40158661423760983
GPT-4,chain-of-thought,0.8105063907670087
GPT-4,temperature-0,0.4978960674907754
GPT-4,temperature-0.2,0.48263564909534473
GPT-4,temperature-0.4,0.48297757255320406
GPT-4,temperature-0.6,0.5156105455920614
GPT-4,temperature-0.8,0.49704154541011636
GPT-4,temperature-1,0.49186780414508235
Mixtral,zero-shot,0.7142625228218642
Mixtral,few-shot,0.6412677168911843
Mixtral,parallel,0.2665202750040807
Mixtral,chain-of-thought,0.7773737852091629
Mixtral,temperature-0,0.7301236854675476
Mixtral,temperature-0.2,0.7274567866633914
Mixtral,temperature-0.4,0.7330427388441395
Mixtral,temperature-0.6,0.7252115263878246
Mixtral,temperature-0.8,0.7241208494266791
Mixtral,temperature-1,0.7291247007084163
MechGPT,zero-shot,0.1789934373591331
MechGPT,few-shot,0.565032655728799
MechGPT,parallel,-0.40920363801208964
MechGPT,chain-of-thought,0.08082361757207414
MechGPT,temperature-0.1,0.462606643834316
MechGPT,temperature-0.2,0.4521373493411448
MechGPT,temperature-0.4,0.4659095038701461
MechGPT,temperature-0.6,0.52569267982468
MechGPT,temperature-0.8,0.4946603091395833
MechGPT,temperature-1,0.46575472588848815
