design,criteria,material,response
kitchen utensil grip,lightweight,steel,5
kitchen utensil grip,lightweight,aluminium,8
kitchen utensil grip,lightweight,titanium,9
kitchen utensil grip,lightweight,glass,5
kitchen utensil grip,lightweight,wood,10
kitchen utensil grip,lightweight,thermoplastic,5
kitchen utensil grip,lightweight,elastomer,7
kitchen utensil grip,lightweight,thermoset,5
kitchen utensil grip,lightweight,composite,8
kitchen utensil grip,heat resistant,steel,8
kitchen utensil grip,heat resistant,aluminium,1
kitchen utensil grip,heat resistant,titanium,3
kitchen utensil grip,heat resistant,glass,5
kitchen utensil grip,heat resistant,wood,2
kitchen utensil grip,heat resistant,thermoplastic,1
kitchen utensil grip,heat resistant,elastomer,8
kitchen utensil grip,heat resistant,thermoset,8
kitchen utensil grip,heat resistant,composite,8
kitchen utensil grip,corrosion resistant,steel,5
kitchen utensil grip,corrosion resistant,aluminium,2
kitchen utensil grip,corrosion resistant,titanium,5
kitchen utensil grip,corrosion resistant,glass,1
kitchen utensil grip,corrosion resistant,wood,3
kitchen utensil grip,corrosion resistant,thermoplastic,3
kitchen utensil grip,corrosion resistant,elastomer,8
kitchen utensil grip,corrosion resistant,thermoset,5
kitchen utensil grip,corrosion resistant,composite,8
kitchen utensil grip,high strength,steel,11
kitchen utensil grip,high strength,aluminium,2
kitchen utensil grip,high strength,titanium,8
kitchen utensil grip,high strength,glass,8
kitchen utensil grip,high strength,wood,7
kitchen utensil grip,high strength,thermoplastic,3
kitchen utensil grip,high strength,elastomer,7
kitchen utensil grip,high strength,thermoset,3
kitchen utensil grip,high strength,composite,7
spacecraft component,lightweight,steel,11
spacecraft component,lightweight,aluminium,8
spacecraft component,lightweight,titanium,8
spacecraft component,lightweight,glass,1
spacecraft component,lightweight,wood,3
spacecraft component,lightweight,thermoplastic,3
spacecraft component,lightweight,elastomer,3
spacecraft component,lightweight,thermoset,3
spacecraft component,lightweight,composite,8
spacecraft component,heat resistant,steel,8
spacecraft component,heat resistant,aluminium,8
spacecraft component,heat resistant,titanium,8
spacecraft component,heat resistant,glass,3
spacecraft component,heat resistant,wood,7
spacecraft component,heat resistant,thermoplastic,5
spacecraft component,heat resistant,elastomer,8
spacecraft component,heat resistant,thermoset,8
spacecraft component,heat resistant,composite,8
spacecraft component,corrosion resistant,steel,5
spacecraft component,corrosion resistant,aluminium,5
spacecraft component,corrosion resistant,titanium,8
spacecraft component,corrosion resistant,glass,1
spacecraft component,corrosion resistant,wood,1
spacecraft component,corrosion resistant,thermoplastic,5
spacecraft component,corrosion resistant,elastomer,10
spacecraft component,corrosion resistant,thermoset,3
spacecraft component,corrosion resistant,composite,5
spacecraft component,high strength,steel,8
spacecraft component,high strength,aluminium,8
spacecraft component,high strength,titanium,8
spacecraft component,high strength,glass,3
spacecraft component,high strength,wood,10
spacecraft component,high strength,thermoplastic,2
spacecraft component,high strength,elastomer,5
spacecraft component,high strength,thermoset,0
spacecraft component,high strength,composite,10
underwater component,lightweight,steel,7
underwater component,lightweight,aluminium,7
underwater component,lightweight,titanium,8
underwater component,lightweight,glass,8
underwater component,lightweight,wood,2
underwater component,lightweight,thermoplastic,8
underwater component,lightweight,elastomer,7
underwater component,lightweight,thermoset,5
underwater component,lightweight,composite,5
underwater component,heat resistant,steel,5
underwater component,heat resistant,aluminium,3
underwater component,heat resistant,titanium,8
underwater component,heat resistant,glass,3
underwater component,heat resistant,wood,2
underwater component,heat resistant,thermoplastic,3
underwater component,heat resistant,elastomer,8
underwater component,heat resistant,thermoset,1
underwater component,heat resistant,composite,8
underwater component,corrosion resistant,steel,2
underwater component,corrosion resistant,aluminium,2
underwater component,corrosion resistant,titanium,8
underwater component,corrosion resistant,glass,2
underwater component,corrosion resistant,wood,10
underwater component,corrosion resistant,thermoplastic,1
underwater component,corrosion resistant,elastomer,6
underwater component,corrosion resistant,thermoset,3
underwater component,corrosion resistant,composite,8
underwater component,high strength,steel,8
underwater component,high strength,aluminium,1
underwater component,high strength,titanium,8
underwater component,high strength,glass,10
underwater component,high strength,wood,1
underwater component,high strength,thermoplastic,3
underwater component,high strength,elastomer,6
underwater component,high strength,thermoset,3
underwater component,high strength,composite,10
safety helmet,lightweight,steel,7
safety helmet,lightweight,aluminium,8
safety helmet,lightweight,titanium,8
safety helmet,lightweight,glass,5
safety helmet,lightweight,wood,8
safety helmet,lightweight,thermoplastic,8
safety helmet,lightweight,elastomer,7
safety helmet,lightweight,thermoset,10
safety helmet,lightweight,composite,7
safety helmet,heat resistant,steel,5
safety helmet,heat resistant,aluminium,7
safety helmet,heat resistant,titanium,8
safety helmet,heat resistant,glass,5
safety helmet,heat resistant,wood,5
safety helmet,heat resistant,thermoplastic,3
safety helmet,heat resistant,elastomer,5
safety helmet,heat resistant,thermoset,0
safety helmet,heat resistant,composite,5
safety helmet,corrosion resistant,steel,3
safety helmet,corrosion resistant,aluminium,8
safety helmet,corrosion resistant,titanium,8
safety helmet,corrosion resistant,glass,1
safety helmet,corrosion resistant,wood,5
safety helmet,corrosion resistant,thermoplastic,1
safety helmet,corrosion resistant,elastomer,8
safety helmet,corrosion resistant,thermoset,1
safety helmet,corrosion resistant,composite,7
safety helmet,high strength,steel,8
safety helmet,high strength,aluminium,8
safety helmet,high strength,titanium,8
safety helmet,high strength,glass,1
safety helmet,high strength,wood,3
safety helmet,high strength,thermoplastic,2
safety helmet,high strength,elastomer,2
safety helmet,high strength,thermoset,0
safety helmet,high strength,composite,5
